pl_name,hostname,sy_snum,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
11 Com b,11 Com,2,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,1.9238,-1.9238,4.44038,0.0038479,-0.0038479
11 UMi b,11 UMi,1,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,1.9765,-1.9765,4.56216,0.0039035,-0.0039035
14 And b,14 And,1,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,0.714,-0.714,4.91781,0.0028262,-0.0028262
14 Her b,14 Her,1,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,0.0073,-0.0073,6.383,0.0003512,-0.0003512
16 Cyg B b,16 Cyg B,3,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,0.011,-0.0111,6.06428,0.0006029,-0.0006029
17 Sco b,17 Sco,1,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.953,2.59,-2.59,4.75429,0.005055,-0.005055
18 Del b,18 Del,2,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,0.6217,-0.6217,5.27476,0.0026539,-0.0026539
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135,1.332,-1.307,12.0572,0.002275,-0.002275
24 Boo b,24 Boo,1,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,0.63685,-0.63685,5.3339,0.0019998,-0.0019998
24 Sex b,24 Sex,1,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,0.6854,-0.6728,6.20374,0.0004976,-0.0004976
24 Sex c,24 Sex,1,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,0.6854,-0.6728,6.20374,0.0004976,-0.0004976
2M0437 b,2MASS J04372171+2651014,1,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.484,1.196,-1.174,14.3374,0.000772,-0.000772
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,47.2,3.1,-3.1,,,
